"Hora","Ambiente","Solucion","Diferencia"
"16:06:48","21,3","18,94","-2,36"
"16:06:54","21,3","18,94","-2,36"
"16:07:00","21,3","18,94","-2,36"
"16:07:06","21,3","18,94","-2,36"
"16:07:12","21,3","19","-2,3"
"16:07:18","21,3","19,13","-2,17"
"16:07:23","21,3","19,13","-2,17"
"16:07:29","21,3","19,25","-2,05"
"16:07:35","21,4","19,44","-1,96"
"16:07:41","21,3","19,69","-1,61"
"16:07:47","21,3","19,75","-1,55"
"16:07:53","21,4","19,88","-1,52"
"16:07:59","21,4","19,88","-1,52"
"16:08:04","21,4","19,94","-1,46"
"16:08:10","21,4","19,94","-1,46"
"16:08:16","21,4","20","-1,4"
"16:08:22","21,4","20","-1,4"
"16:08:28","21,4","20","-1,4"
"16:08:34","21,4","20","-1,4"
"16:08:40","21,4","20,06","-1,34"
"16:08:45","21,4","20,13","-1,27"
"16:08:51","21,4","20,19","-1,21"
"16:08:57","21,4","20,25","-1,15"
"16:09:03","21,4","20,31","-1,09"
"16:09:09","21,4","20,31","-1,09"
"16:09:15","21,4","20,38","-1,02"
"16:09:21","21,4","20,44","-0,96"
"16:09:26","21,4","20,44","-0,96"
"16:09:32","21,4","20,5","-0,9"
"16:09:38","21,4","20,56","-0,84"
"16:09:44","21,5","20,56","-0,94"
"16:09:50","21,5","20,63","-0,87"
"16:09:56","21,4","20,63","-0,77"
"16:10:02","21,5","20,63","-0,87"
"16:10:07","21,4","20,69","-0,71"
"16:10:13","21,5","20,69","-0,81"
"16:10:19","21,5","20,75","-0,75"
"16:10:25","21,5","20,81","-0,69"
"16:10:31","21,5","20,88","-0,62"
"16:10:37","21,5","20,88","-0,62"
"16:10:42","21,5","20,88","-0,62"
"16:10:48","21,5","20,88","-0,62"
"16:10:54","21,4","20,94","-0,46"
"16:11:00","21,4","21","-0,4"
"16:11:06","21,5","21","-0,5"
"16:11:12","21,5","21,06","-0,44"
"16:11:18","21,5","21,06","-0,44"
"16:11:23","21,5","21,06","-0,44"
"16:11:29","21,5","21,06","-0,44"
"16:11:35","21,5","21,13","-0,37"
"16:11:41","21,5","21,13","-0,37"
"16:11:47","21,5","21,13","-0,37"
"16:11:53","21,5","21,19","-0,31"
"16:11:59","21,5","21,19","-0,31"
"16:12:04","21,5","21,19","-0,31"
"16:12:10","21,5","21,25","-0,25"
"16:12:16","21,5","21,25","-0,25"
"16:12:22","21,4","21,25","-0,15"
"16:12:28","21,5","21,25","-0,25"
"16:12:34","21,4","21,25","-0,15"
"16:12:40","21,4","21,31","-0,09"
"16:12:45","21,4","21,31","-0,09"
"16:12:51","21,5","21,31","-0,19"
"16:12:57","21,5","21,31","-0,19"
"16:13:03","21,4","21,38","-0,02"
"16:13:09","21,4","21,38","-0,02"
"16:13:15","21,4","21,31","-0,09"
"16:13:21","21,4","21,31","-0,09"
"16:13:26","21,4","21,38","-0,02"
"16:13:32","21,4","21,38","-0,02"
"16:13:38","21,4","21,38","-0,02"
"16:13:44","21,4","21,38","-0,02"
"16:13:50","21,4","21,38","-0,02"
"16:13:56","21,4","21,38","-0,02"
"16:14:01","21,4","21,38","-0,02"
"16:14:07","21,4","21,38","-0,02"
"16:14:13","21,4","21,38","-0,02"
"16:14:19","21,4","21,44","0,04"
"16:14:25","21,4","21,44","0,04"
"16:14:31","21,4","21,44","0,04"
"16:14:37","21,4","21,44","0,04"
"16:14:42","21,4","21,44","0,04"
"16:14:48","21,4","21,44","0,04"
"16:14:54","21,4","21,5","0,1"
"16:15:00","21,3","21,44","0,14"
"16:15:06","21,4","21,5","0,1"
"16:15:12","21,4","21,5","0,1"
"16:15:18","21,3","21,5","0,2"
"16:15:23","21,4","21,44","0,04"
"16:15:29","21,3","21,5","0,2"
"16:15:35","21,3","21,5","0,2"
"16:15:41","21,3","21,5","0,2"
"16:15:47","21,3","21,5","0,2"
