"Hora","Ambiente","Solucion","Diferencia"
"15:56:34","21,5","21,13","-0,37"
"15:56:40","21,5","20,63","-0,87"
"15:56:46","21,5","20,25","-1,25"
"15:56:51","21,5","20,06","-1,44"
"15:56:57","21,5","19,81","-1,69"
"15:57:03","21,5","19,56","-1,94"
"15:57:09","21,5","19,44","-2,06"
"15:57:15","21,6","19,31","-2,29"
"15:57:21","21,5","19,19","-2,31"
"15:57:26","21,6","19,06","-2,54"
"15:57:32","21,5","18,94","-2,56"
"15:57:38","21,5","18,88","-2,62"
"15:57:44","21,6","18,75","-2,85"
"15:57:50","21,5","18,75","-2,75"
"15:57:56","21,5","18,63","-2,87"
"15:58:02","21,5","18,56","-2,94"
"15:58:07","21,5","18,56","-2,94"
"15:58:13","21,5","18,5","-3"
"15:58:19","21,6","18,44","-3,16"
"15:58:25","21,6","18,38","-3,22"
"15:58:31","21,5","18,38","-3,12"
"15:58:37","21,5","18,38","-3,12"
"15:58:43","21,5","18,31","-3,19"
"15:58:48","21,5","18,31","-3,19"
"15:58:54","21,5","18,25","-3,25"
"15:59:00","21,5","18,25","-3,25"
"15:59:06","21,5","18,19","-3,31"
"15:59:12","21,5","18,19","-3,31"
"15:59:18","21,5","18,19","-3,31"
"15:59:24","21,5","18,13","-3,37"
"15:59:29","21,5","18,13","-3,37"
"15:59:35","21,5","18,13","-3,37"
"15:59:41","21,5","18,13","-3,37"
"15:59:47","21,5","18,13","-3,37"
"15:59:53","21,5","18,06","-3,44"
"15:59:59","21,5","18,06","-3,44"
"16:00:05","21,5","18,06","-3,44"
"16:00:10","21,5","18,06","-3,44"
"16:00:16","21,5","18,06","-3,44"
"16:00:22","21,5","18,06","-3,44"
"16:00:28","21,5","18,06","-3,44"
"16:00:34","21,5","18,06","-3,44"
"16:00:40","21,5","18,06","-3,44"
"16:00:45","21,5","18,06","-3,44"
"16:00:51","21,5","18,06","-3,44"
"16:00:57","21,5","18,06","-3,44"
"16:01:03","21,5","18,13","-3,37"
"16:01:09","21,4","18,06","-3,34"
"16:01:15","21,5","18,13","-3,37"
"16:01:21","21,4","18,06","-3,34"
"16:01:26","21,4","18,13","-3,27"
"16:01:32","21,4","18,06","-3,34"
"16:01:38","21,4","18,13","-3,27"
"16:01:44","21,4","18,13","-3,27"
"16:01:50","21,4","18,13","-3,27"
"16:01:56","21,4","18,13","-3,27"
"16:02:02","21,4","18,13","-3,27"
"16:02:07","21,4","18,19","-3,21"
"16:02:13","21,4","18,19","-3,21"
"16:02:19","21,4","18,19","-3,21"
"16:02:25","21,4","18,19","-3,21"
"16:02:31","21,4","18,19","-3,21"
"16:02:37","21,4","18,25","-3,15"
"16:02:43","21,4","18,25","-3,15"
"16:02:48","21,4","18,25","-3,15"
"16:02:54","21,4","18,25","-3,15"
"16:03:00","21,4","18,25","-3,15"
"16:03:06","21,3","18,25","-3,05"
"16:03:12","21,3","18,25","-3,05"
"16:03:18","21,4","18,31","-3,09"
"16:03:24","21,3","18,31","-2,99"
"16:03:29","21,3","18,38","-2,92"
"16:03:35","21,3","18,31","-2,99"
"16:03:41","21,3","18,38","-2,92"
"16:03:47","21,3","18,38","-2,92"
"16:03:53","21,3","18,38","-2,92"
"16:03:59","21,3","18,38","-2,92"
"16:04:04","21,3","18,44","-2,86"
"16:04:10","21,3","18,44","-2,86"
"16:04:16","21,3","18,44","-2,86"
"16:04:22","21,3","18,44","-2,86"
"16:04:28","21,3","18,5","-2,8"
"16:04:34","21,3","18,5","-2,8"
"16:04:40","21,3","18,5","-2,8"
"16:04:45","21,3","18,5","-2,8"
"16:04:51","21,3","18,56","-2,74"
"16:04:57","21,3","18,56","-2,74"
"16:05:03","21,3","18,56","-2,74"
"16:05:09","21,3","18,63","-2,67"
"16:05:15","21,3","18,63","-2,67"
"16:05:21","21,3","18,63","-2,67"
"16:05:26","21,3","18,63","-2,67"
"16:05:32","21,3","18,69","-2,61"
"16:05:38","21,3","18,69","-2,61"
"16:05:44","21,3","18,69","-2,61"
"16:05:50","21,3","18,75","-2,55"
"16:05:56","21,3","18,75","-2,55"
"16:06:02","21,3","18,75","-2,55"
"16:06:07","21,3","18,81","-2,49"
"16:06:13","21,3","18,81","-2,49"
"16:06:19","21,3","18,88","-2,42"
"16:06:25","21,3","18,88","-2,42"
